year,quarter,industry,recruitment_rate,resignation_rate,retrenchment
2008,Q2,services,3.4,2.5,640
2008,Q2,others,3.5,2.4,0
2008,Q3,manufacturing,2.2,1.6,2230
2008,Q3,construction,4.2,1.7,130
2008,Q3,services,3.2,2.2,820
2008,Q3,others,3.1,2.2,0
2008,Q4,manufacturing,1.3,1.3,5160
2008,Q4,construction,3.1,1.5,390
2008,Q4,services,2.4,1.7,3820
2008,Q4,others,2.2,1.8,40
2009,Q1,manufacturing,1.1,1.6,9100
2009,Q1,construction,2.3,1.7,350
2009,Q1,services,2.1,1.9,3300
2009,Q1,others,2.0,2.4,20
2009,Q2,manufacturing,1.3,1.6,2820
2009,Q2,construction,2.6,1.7,240
2009,Q2,services,2.3,1.9,2910
2009,Q2,others,2.0,2.0,0
2009,Q3,manufacturing,1.9,1.5,870
2009,Q3,construction,2.7,1.6,140
2009,Q3,services,2.7,2.0,1430
2009,Q3,others,2.4,1.8,30
2009,Q4,manufacturing,1.6,1.2,860
2009,Q4,construction,2.3,1.7,250
2009,Q4,services,2.7,1.9,1080
2009,Q4,others,2.7,1.7,40
2010,Q1,manufacturing,1.9,1.5,1000
2010,Q1,construction,2.1,1.7,340
2010,Q1,services,3.1,2.3,1060
2010,Q1,others,1.7,1.2,0
2010,Q2,manufacturing,2.2,1.8,1140
2010,Q2,construction,2.5,2.0,150
2010,Q2,services,3.3,2.5,990
2010,Q2,others,2.2,1.6,0
2010,Q3,manufacturing,2.2,1.6,970
2010,Q3,construction,2.7,1.8,170
2010,Q3,services,3.3,2.4,790
2010,Q3,others,2.4,2.1,0
2010,Q4,manufacturing,1.7,1.2,1370
2010,Q4,construction,2.5,1.6,690
2010,Q4,services,2.9,2.0,1120
2010,Q4,others,1.9,1.4,0
2011,Q1,manufacturing,1.9,1.6,1440
2011,Q1,construction,2.5,1.5,310
2011,Q1,services,2.8,2.2,1010
2011,Q1,others,2.2,1.9,0
2011,Q2,manufacturing,2.1,1.7,600
2011,Q2,construction,3.0,2.0,410
2011,Q2,services,3.1,2.3,1020
2011,Q2,others,2.3,1.6,10
2011,Q3,manufacturing,2.3,1.7,770
2011,Q3,construction,2.9,1.8,100
2011,Q3,services,3.3,2.3,1050
2011,Q3,others,2.3,2.0,40
2011,Q4,manufacturing,1.6,1.3,1660
2011,Q4,construction,3.0,1.6,240
2011,Q4,services,2.8,1.9,1360
2011,Q4,others,1.7,1.3,0
2012,Q1,manufacturing,2.0,1.7,750
2012,Q1,construction,3.0,1.9,260
2012,Q1,services,2.9,2.4,1580
2012,Q1,others,2.4,1.6,0
2012,Q2,manufacturing,2.1,1.8,520
2012,Q2,construction,3.6,2.0,180
2012,Q2,services,3.1,2.4,1510
2012,Q2,others,2.6,2.0,0
2012,Q3,manufacturing,1.9,1.6,1200
2012,Q3,construction,3.4,1.8,140
2012,Q3,services,3.0,2.3,1510
2012,Q3,others,2.6,1.7,10
2012,Q4,manufacturing,1.6,1.2,1580
2012,Q4,construction,3.6,1.8,70
2012,Q4,services,2.7,2.0,1690
2012,Q4,others,2.1,1.4,0
2013,Q1,manufacturing,1.6,1.6,680
2013,Q1,construction,3.6,2.1,130
2013,Q1,services,2.8,2.3,1300
2013,Q1,others,2.2,1.8,10
2013,Q2,manufacturing,2.2,1.6,1630
2013,Q2,construction,3.7,2.2,250
2013,Q2,services,3.0,2.4,1190
2013,Q2,others,2.4,1.9,0
2013,Q3,manufacturing,2.1,1.6,1250
2013,Q3,construction,3.1,1.7,260
2013,Q3,services,2.9,2.2,1200
2013,Q3,others,2.3,1.6,0
2013,Q4,manufacturing,1.6,1.2,1430
2013,Q4,construction,2.8,1.9,480
2013,Q4,services,2.6,1.9,1740
2013,Q4,others,1.7,0.8,0
2014,Q1,manufacturing,1.7,1.6,820
2014,Q1,construction,2.5,2.0,400
2014,Q1,services,2.7,2.3,1890
2014,Q1,others,2.6,1.9,0
2014,Q2,manufacturing,1.9,1.7,710
2014,Q2,construction,3.1,2.1,280
2014,Q2,services,3.0,2.4,1420
2014,Q2,others,1.8,1.5,0
2014,Q3,manufacturing,2.0,1.6,1270
2014,Q3,construction,2.7,1.8,210
2014,Q3,services,3.0,2.3,2030
2014,Q3,others,2.0,1.5,0
2014,Q4,manufacturing,1.5,1.3,1180
2014,Q4,construction,2.4,1.6,800
2014,Q4,services,2.6,1.8,1930
2014,Q4,others,2.0,1.3,0
2015,Q1,manufacturing,1.5,1.6,950
2015,Q1,construction,2.3,1.8,610
2015,Q1,services,2.6,2.0,1930
2015,Q1,others,1.5,1.4,10
2015,Q2,manufacturing,1.8,1.7,870
2015,Q2,construction,2.7,2.1,230
2015,Q2,services,2.8,2.2,2100
2015,Q2,others,1.7,1.4,50
2015,Q3,manufacturing,1.7,1.5,920
2015,Q3,construction,2.5,1.7,430
2015,Q3,services,2.7,2.0,2120
2015,Q3,others,1.8,1.4,0
2015,Q4,manufacturing,1.2,1.1,2480
2015,Q4,construction,2.3,1.7,520
2015,Q4,services,2.5,1.8,2360
2015,Q4,others,1.5,1.3,20
2016,Q1,manufacturing,1.6,1.5,1790
2016,Q1,construction,2.3,1.6,390
2016,Q1,services,2.5,2.0,2530
2016,Q1,others,1.4,1.3,0
2016,Q2,manufacturing,1.8,1.6,1380
2016,Q2,construction,2.2,1.8,350
2016,Q2,services,2.6,2.1,3000
2016,Q2,others,1.3,1.4,70
2016,Q3,manufacturing,1.6,1.5,1120
2016,Q3,construction,1.9,1.6,600
2016,Q3,services,2.4,1.9,2510
2016,Q3,others,1.3,1.1,0
2016,Q4,manufacturing,1.3,1.2,1990
2016,Q4,construction,1.9,1.7,580
2016,Q4,services,2.2,1.7,2840
2016,Q4,others,1.3,1.1,20
2017,Q1,manufacturing,1.6,1.6,890
2017,Q1,construction,1.6,1.7,660
2017,Q1,services,2.2,1.9,2440
2017,Q1,others,1.2,1.3,10
2017,Q2,manufacturing,1.9,1.6,840
2017,Q2,construction,1.9,1.9,470
2017,Q2,services,2.3,2.0,2330
2017,Q2,others,1.4,1.0,0
2017,Q3,manufacturing,2.1,1.6,730
2017,Q3,construction,1.7,1.7,490
2017,Q3,services,2.4,1.9,2180
2017,Q3,others,1.7,2.3,0
2017,Q4,manufacturing,1.7,1.3,1330
2017,Q4,construction,1.5,1.8,400
2017,Q4,services,2.3,1.7,1950
2017,Q4,others,1.3,1.0,10
2018,Q1,manufacturing,1.7,1.6,510
2018,Q1,construction,1.8,1.6,350
2018,Q1,services,2.4,1.9,1470
2018,Q1,others,1.5,1.8,0
2018,Q2,manufacturing,2.1,1.8,820
2018,Q2,construction,2.3,2.0,470
2018,Q2,services,2.7,2.1,1740
2018,Q2,others,1.8,1.4,0
2018,Q3,manufacturing,2.1,1.5,870
2018,Q3,construction,2.0,1.7,200
2018,Q3,services,2.4,1.8,1800
2018,Q3,others,2.1,1.3,0
2018,Q4,manufacturing,1.6,1.3,380
2018,Q4,construction,1.9,1.7,180
2018,Q4,services,2.2,1.7,1950
2018,Q4,others,1.8,1.1,0
2019,Q1,manufacturing,1.7,1.7,1040
2019,Q1,construction,2.1,2.0,280
2019,Q1,services,2.4,1.8,1900
2019,Q1,others,1.7,1.2,0
2019,Q2,manufacturing,2.0,1.7,490
2019,Q2,construction,2.4,2.0,150
2019,Q2,services,2.6,2.1,1680
2019,Q2,others,1.7,1.3,0
2019,Q3,manufacturing,1.7,1.4,600
2019,Q3,construction,2.4,1.8,160
2019,Q3,services,2.5,1.9,1690
2019,Q3,others,1.6,1.1,20
